Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
SI,Sirmaur,Nahan,530164,2825,188.0,Himachal Pradesh,Tier III
SO,Solan,Solan,576670,1936,298.0,Himachal Pradesh,Tier III
UN,Una,Una,521057,1540,328.0,Himachal Pradesh,Tier III
AD,Alipurduar,Alipurduar,1501983,3136.0,479,West Bengal,Tier III
BN,Bankura,Bankura,3596292,6882.0,523,West Bengal,Tier III
BI,Birbhum,Suri,3502387,4545.0,771,West Bengal,Tier III
KB,Cooch Behar,Cooch Behar,2822780,3387.0,833,West Bengal,Tier III
DD,Dakshin Dinajpur,Balurghat,1670931,2183.0,753,West Bengal,Tier III
DA,Darjeeling,Darjeeling,1595181,2093.0,762,West Bengal,Tier III
HG,Hooghly,Chinsurah,5520389,3149.0,1753,West Bengal,Tier III
HR,Howrah,Howrah,4841638,1467.0,3300,West Bengal,Tier III
JA,Jalpaiguri,Jalpaiguri,3869675,6227.0,621,West Bengal,Tier III
JH,Jhargram,Jhargram,1136548,3038.0,374,West Bengal,Tier III
KA,Kalimpong,Kalimpong,251642,1054.0,239,West Bengal,Tier III
KO,Kolkata,Kolkata,4486679,206.08,24252,West Bengal,Tier I
MA,Maldah,English Bazar,3997970,3733.0,1071,West Bengal,Tier III
MSD,Murshidabad,Baharampur,7102430,5324.0,1334,West Bengal,Tier III
,Nadia,Krishnanagar,5168488,3927.0,1316,West Bengal,Tier III
PN,North 24 Parganas,Barasat,10082852,4094.0,2463,West Bengal,Tier III
BR,Paschim Bardhaman,Asansol,2882031,1603.0,1798,West Bengal,Tier III
PM,Paschim Medinipur,Midnapore,4776909,6308.0,757,West Bengal,Tier III
BR,Purba Bardhaman,Bardhaman,4835532,5433.0,890,West Bengal,Tier III
PR,Purba Medinipur,Tamluk,5095875,4736.0,1076,West Bengal,Tier III
PU,Purulia,Purulia,2927965,6259.0,468,West Bengal,Tier II
PS,South 24 Parganas,Alipore,8161961,9960.0,819,West Bengal,Tier III
UD,Uttar Dinajpur,Raiganj,3000849,3180.0,956,West Bengal,Tier III
AR,Araria,Araria,2806200,2829,992,Bihar,Tier III
AW,Arwal,Arwal,700843,638,1098,Bihar,Tier III
AU,Aurangabad,Aurangabad,2511243,3303,760,Bihar,Tier II
BA,Banka,Banka,2029339,3018,672,Bihar,Tier III
BE,Begusarai,Begusarai,2954367,1917,1540,Bihar,Tier III
BG,Bhagalpur,Bhagalpur,3032226,2569,1180,Bihar,Tier III
BJ,Bhojpur,Arrah,2720155,2473,1136,Bihar,Tier III
BU,Buxar,Buxar,1707643,1624,1003,Bihar,Tier III
DA,Darbhanga,Darbhanga,3921971,2278,1721,Bihar,Tier III
EC,East Champaran,Motihari,5082868,3969,1281,Bihar,Tier III
GA,Gaya,Gaya,4379383,4978,880,Bihar,Tier III
GO,Gopalganj,Gopalganj,2558037,2033,1258,Bihar,Tier III
JA,Jamui,Jamui,1756078,3099,567,Bihar,Tier III
JE,Jehanabad,Jehanabad,1124176,1569,1206,Bihar,Tier III
KM,Kaimur,Bhabua,1626900,3363,488,Bihar,Tier III
KT,Katihar,Katihar,3068149,3056,1004,Bihar,Tier III
KH,Khagaria,Khagaria,1657599,1486,1115,Bihar,Tier III
KI,Kishanganj,Kishanganj,1690948,1884,898,Bihar,Tier III
LA,Lakhisarai,Lakhisarai,1000717,1229,815,Bihar,Tier III
MP,Madhepura,Madhepura,1994618,1787,1116,Bihar,Tier III
MB,Madhubani,Madhubani,4476044,3501,1279,Bihar,Tier III
MG,Munger,Munger,1359054,1419,958,Bihar,Tier III
MZ,Muzaffarpur,Muzaffarpur,4778610,3173,1506,Bihar,Tier III
NL,Nalanda,Bihar Sharif,2872523,2354,1220,Bihar,Tier III
NW,Nawada,Nawada,2216653,2492,889,Bihar,Tier III
PA,Patna,Patna,5772804,3202,1803,Bihar,Tier II
PU,Purnia,Purnia,3273127,3228,1014,Bihar,Tier III
RO,Rohtas,Sasaram,2962593,3850,763,Bihar,Tier III
SH,Saharsa,Saharsa,1897102,1702,1125,Bihar,Tier III
SM,Samastipur,Samastipur,4254782,2905,1465,Bihar,Tier III
SR,Saran,Chhapra,3943098,2641,1493,Bihar,Tier III
SP,Sheikhpura,Sheikhpura,634927,689,922,Bihar,Tier III
SO,Sheohar,Sheohar,656916,443,1882,Bihar,Tier III
ST,Sitamarhi,Sitamarhi,3419622,2199,1491,Bihar,Tier III
SW,Siwan,Siwan,3318176,2219,1495,Bihar,Tier III
SU,Supaul,Supaul,2228397,2410,919,Bihar,Tier III
VA,Vaishali,Hajipur,3495021,2036,1717,Bihar,Tier III
WC,West Champaran,Bettiah,3935042,5229,753,Bihar,Tier III
