Code,District,Headquarters,Population,Area (km2),Density (/km2),State/UnionTerritory,City Tier
CGL,Chengalpattu,Chengalpattu,2556244,2945,868,Tamil Nadu,Tier III
CH,Chennai,Chennai,7139882,426,17000,Tamil Nadu,Tier I
CO,Coimbatore,Coimbatore,3472578,4723,748,Tamil Nadu,Tier II
CU,Cuddalore,Cuddalore,2600880,3999,702,Tamil Nadu,Tier III
DH,Dharmapuri,Dharmapuri,1502900,4532,332,Tamil Nadu,Tier III
DGL,Dindigul,Dindigul,2161367,6058,357,Tamil Nadu,Tier III
ER,Erode,Erode,2259608,5714,397,Tamil Nadu,Tier II
KL,Kallakurichi,Kallakurichi,1682687,3520,478,Tamil Nadu,Tier III
KC,Kanchipuram,Kanchipuram,1166401,1656,704,Tamil Nadu,Tier III
KK,Kanyakumari,Nagercoil,1863178,1685,1106,Tamil Nadu,Tier III
KA,Karur,Karur,1076588,2901,371,Tamil Nadu,Tier III
KR,Krishnagiri,Krishnagiri,1883731,5086,370,Tamil Nadu,Tier III
MDU,Madurai,Madurai,3191038,3676,823,Tamil Nadu,Tier II
MLD,Mayiladuthurai,Mayiladuthurai,918356,1172,784,Tamil Nadu,Tier III
NG,Nagapattinam,Nagapattinam,1614069,2716,668,Tamil Nadu,Tier III
NI,Nilgiris,Ooty,735071,2549,288,Tamil Nadu,Tier III
NM,Namakkal,Namakkal,1721179,3429,506,Tamil Nadu,Tier III
PE,Perambalur,Perambalur,564511,1752,323,Tamil Nadu,Tier III
PU,Pudukkottai,Pudukkottai,1918725,4651,348,Tamil Nadu,Tier III
RA,Ramanathapuram,Ramanathapuram,1337560,4123,320,Tamil Nadu,Tier III
RN,Ranipet,Ranipettai,1210277,2234,524,Tamil Nadu,Tier III
SA,Salem,Salem,3480008,5245,663,Tamil Nadu,Tier II
SVG,Sivaganga,Sivagangai,1341250,4086,324,Tamil Nadu,Tier III
TS,Tenkasi,Tenkasi,1407627,2916,483,Tamil Nadu,Tier III
TP,Tiruppur,Tiruppur,2471222,5106,476,Tamil Nadu,Tier III
TC,Tiruchirappalli,Tiruchirappalli,2713858,4407,602,Tamil Nadu,Tier II
TH,Theni,Theni,1243684,3066,433,Tamil Nadu,Tier III
TI,Tirunelveli,Tirunelveli,1665253,3842,433,Tamil Nadu,Tier II
TJ,Thanjavur,Thanjavur,2402781,3397,691,Tamil Nadu,Tier II
TK,Thoothukudi,Thoothukudi,1738376,4594,378,Tamil Nadu,Tier III
TP,Tirupattur,Tirupattur,1111812,1798,618,Tamil Nadu,Tier III
TL,Tiruvallur,Tiruvallur,3725697,3424,1049,Tamil Nadu,Tier III
TR,Tiruvarur,Thiruvarur,1268094,2377,533,Tamil Nadu,Tier III
TV,Tiruvannamalai,Tiruvannaamalai,2468965,6191,399,Tamil Nadu,Tier II
VE,Vellore,Vellore,1614242,2080,776,Tamil Nadu,Tier II
VL,Viluppuram,Viluppuram,2093003,3725,562,Tamil Nadu,Tier III
VNR,Virudhunagar,Virudhunagar,1943309,3446,454,Tamil Nadu,Tier III
AN,Anantnag,Anantnag,1070144,2853,375,Jammu and Kashmir,Tier III
